PULocationID,total_emissions,emissions_10_20,reduction_10_20,emissions_20_30,reduction_20_30
157,111618514.366051,94875737.21114334,16742777.154907659,78132960.0562357,33485554.309815302
158,136659275.3495137,116160384.04708666,20498891.302427053,95661492.74465959,40997782.60485412
159,162826829.07134002,138402804.71063903,24424024.360700995,113978780.349938,48848048.72140202
160,90811084.98386876,77189422.23628844,13621662.74758032,63567759.48870813,27243325.49516063
161,130867284.905192,111237192.1694132,19630092.73577881,91607099.4336344,39260185.4715576
162,151913428.3886287,129126414.13033438,22787014.258294314,106339399.87204008,45574028.51658861
163,164613382.17155588,139921374.84582248,24692007.325733393,115229367.5200891,49384014.65146677
164,209472841.48904124,178051915.26568505,31420926.223356187,146630989.04232886,62841852.446712375
165,115034248.42542176,97779111.16160849,17255137.263813272,80523973.89779523,34510274.52762653
166,117587730.0824056,99949570.57004476,17638159.51236084,82311411.05768391,35276319.02472168
167,163450313.36283487,138932766.35840964,24517547.004425228,114415219.3539844,49035094.00885047
168,231912497.12818247,197125622.5589551,34786874.56922737,162338747.9897277,69573749.13845477
169,186607091.47055033,158616027.74996778,27991063.720582545,130624964.02938522,55982127.441165105
170,233523093.59882808,198494629.55900386,35028464.03982422,163466165.51917964,70056928.07964844
171,71948627.21539345,61156333.13308443,10792294.082309023,50364039.050775416,21584588.164618038
173,80083564.32328202,68071029.67478971,12012534.648492306,56058495.02629741,24025069.296984605
174,172039575.6853896,146233639.33258116,25805936.352808446,120427702.97977272,51611872.70561689
177,143878637.0269229,122296841.47288448,21581795.554038435,100715045.91884603,43163591.108076885
178,41168238.17740617,34993002.45079524,6175235.726610929,28817766.724184316,12350471.453221854
179,126620868.26947933,107627738.02905743,18993130.240421906,88634607.78863552,37986260.48084381
180,60219503.69673619,51186578.14222576,9032925.55451043,42153652.58771533,18065851.10902086
181,227554315.94754934,193421168.55541694,34133147.3921324,159288021.16328454,68266294.7842648
182,134518012.1043904,114340310.28873184,20177701.81565857,94162608.47307329,40355403.631317124
185,128650905.45980924,109353269.64083785,19297635.818971395,90055633.82186647,38595271.637942776
186,153136496.35927752,130166021.90538588,22970474.453891635,107195547.45149426,45940948.907783255
188,235546782.07791162,200214764.76622486,35332017.311686754,164882747.4545381,70664034.62337351
193,48664683.89894391,41364981.31410232,7299702.584841587,34065278.729260735,14599405.169683173
197,171507026.55309346,145780972.57012945,25726053.98296401,120054918.58716542,51452107.96592805
198,182018306.13561046,154715560.21526888,27302745.92034158,127412814.29492731,54605491.84068315
205,162866009.07065555,138436107.71005723,24429901.360598326,114006206.34945889,48859802.72119667
206,68218977.86185881,57986131.182579994,10232846.67927882,47753284.503301166,20465693.35855765
208,142374113.85831612,121017996.7795687,21356117.07874742,99661879.70082128,42712234.15749484
210,120399692.76127987,102339738.84708789,18059953.914191976,84279784.9328959,36119907.82838397
211,92952144.62269428,79009322.92929015,13942821.693404138,65066501.23588599,27885643.38680829
212,102740082.18430483,87329069.8566591,15411012.327645734,71918057.52901338,30822024.655291453
213,205828947.3418791,174954605.24059722,30874342.10128188,144080263.13931537,61748684.20256373
215,142881761.1468479,121449496.97482072,21432264.172027186,100017232.80279353,42864528.34405437
216,234684200.92009145,199481570.78207773,35202630.13801372,164278940.644064,70405260.27602744
217,25824445.495600473,21950778.6712604,3873666.8243400715,18077111.84692033,7747333.648680143
218,92171014.6892828,78345362.48589039,13825652.203392416,64519710.28249796,27651304.406784847
220,123279802.85166115,104787832.42391197,18491970.42774917,86295861.9961628,36983940.85549834
221,51477686.471943475,43756033.50115195,7721652.970791526,36034380.53036043,15443305.941583045
222,52493307.02691043,44619310.97287387,7873996.054036565,36745314.9188373,15747992.10807313
223,175605276.22624758,149264484.79231045,26340791.433937132,122923693.3583733,52681582.86787428
224,76960777.59975252,65416660.959789634,11544116.639962882,53872544.31982676,23088233.279925756
225,244304184.4697124,207658556.79925555,36645627.67045686,171012929.12879866,73291255.34091374
226,198162885.07842058,168438452.31665748,29724432.761763096,138714019.5548944,59448865.52352619
227,80717268.35943958,68609678.10552365,12107590.253915936,56502087.8516077,24215180.50783188
228,137593893.72007942,116954809.6620675,20639084.05801192,96315725.60405558,41278168.11602384
229,198875965.09856397,169044570.33377936,29831394.764784604,139213175.56899476,59662789.52956921
